batch_name,video_id,question,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3,wrong_answer_4
batch7_0,10108,"Considering the numerous instances of c looking around and investigating the apartment, what can you infer about c's interest in the environment?",C is curious about the man's life and wants to learn more about him.,C is actively attempting to locate an item or object they can potentially steal.,"Conspiring secretly, c is currently planning to cunningly rob the unsuspecting man.","Currently, c is actively attempting to discover a viable way to successfully escape.",C is bored and looking for something to do.
batch7_0,75940,What is the primary task performed by c in the kitchen and how does it relate to the overall theme of the video?,C is preparing chicken.,"Currently, c is actively preparing fish in the kitchen.","Currently, c is diligently preparing fresh vegetables in the kitchen.","Currently, c is carefully preparing some delicious rice in the kitchen.",C is preparing soup.
batch7_0,18651,"Based on the series of interactions c had with the clothes on the line, what was her objective with these clothes, and how did she make her decision?",C was trying to decide whether or not to buy the sweater top.,C was trying to find a way to get the sweater top off the line.,C was trying to figure out how to put the sweater top back on the line.,C was trying to find a way to take a photo of the sweater top.,C was trying to find a way to remove the cape from the dummy.
batch7_0,97141,Summarize in one sentence the overall goal and motivation for c’s actions throughout the video.,C is trying to clean the books.,"Currently, individual c is actively attempting to read through the various books.","Currently, c is attempting to efficiently organize and arrange the books.","Currently, c is actively attempting to carefully repair and restore the damaged books.",C is trying to steal the books.
batch7_0,3537,"Identify the critical moments in the video that indicate a shift in focus from one task to another. explain their significance, and how c demonstrates awareness and skill in transitioning between these moments.","The critical moments in the video that indicate a shift in focus from one task to another are when c finishes mixing the batter, when c finishes cooking the pancake, and when c adds syrup and fruit to the pancake.","The critical moments in the video that indicate a shift in focus from one task to another are when c pours the cereal into the bowl, when c adds milk to the cereal, and when c stirs the cereal and milk together.","The critical moments in the video that indicate a shift in focus from one task to another are when c spreads peanut butter on the bread, when c spreads jelly on the bread, and when c cuts the sandwich in half.","The critical moments in the video that indicate a shift in focus from one task to another are when c chops the vegetables, when c adds the vegetables to the bowl, and when c adds dressing to the salad.","The critical moments in the video that indicate a shift in focus from one task to another are when c chops the vegetables, when c adds the vegetables and meat to the wok, and when c adds sauce to the stir-fry."
batch7_0,12126,Identify the key objects that receive the most attention in the video and discuss how they contribute to the overall theme of the scene.,"The key objects in the video are the kitchen sink, the stove, the fridge, and the cooler.","The essential key objects featured in the video mainly consist of the dishes, the food items, and the various utensils used.","The key objects in the video are the clothes, the furniture, and the appliances.","The key objects featured in the video predominantly include the people, their adorable pets, and the lush green plants.","The key objects featured in the video are notably the walls, the floors, and the ceilings, all essential."
batch7_0,10641,Briefly summarize the primary activity and the sequential steps that c takes throughout the video to accomplish this task.,C is building a brick wall.,"Currently, c is diligently digging a sizable hole in the ground.","Currently, c is diligently carrying several buckets filled with water.",C is talking to a woman.,The object c is currently coming into contact with the soil.
batch7_0,13194,Analyze c's movements and actions during the video. what can you infer about c's approach and technique in completing the main task?,"C's movements were slow and deliberate, which suggests that he was taking his time to do a good job.","C's movements were significantly fast and quite erratic, strongly suggesting that he was evidently in a considerable hurry.","C's movements appeared smooth and fluid while painting, which strongly suggests that he was, in fact, quite experienced at this artistic skill.","C's movements were jerky and awkward, which suggests that he was not experienced at painting.","C's movements were remarkably precise and carefully controlled, evidently suggesting that he was diligently paying close attention to what he was doing."
batch7_0,9525,Identify the most significant turning point in c's work on the paper collage and explain how this moment impacted the overall composition of the collage.,The most significant turning point in c's work on the paper collage was when she removed the butterfly illustration.,The most significant turning point in c's work on the paper collage was when she placed the butterfly illustration on the tree illustration.,The most significant turning point in c's work on the paper collage was when she trimmed the piece of fabric.,The most significant turning point in c's work on the paper collage was when she pasted the cut paper on the card.,The most significant turning point in c's work on the paper collage was when she scratched her face.
batch7_0,72199,"How does c modify the wooden stick throughout the video, and what was the goal of these modifications?","C cuts the wooden stick to size, then breaks it in half. he then uses the two halves to create a frame around the hole in the wall.",C uses the wooden stick to stir paint.,"Industriously, c employs the sturdy wooden stick to efficiently hammer nails securely into place.","Casually, c skillfully utilizes the available wooden stick to effortlessly prop open a nearby door.","Cleverly, c utilizes the wooden stick provided to skillfully make a roaring fire."
batch7_0,12754,"What is the overarching process that c is engaged in throughout the video, and how does it evolve from beginning to end?",C is engaged in the process of painting a picture.,"Currently, c is actively engaged in the thorough process of cleaning and restoring a painting.",C is engaged in the process of repairing a painting.,"Currently, c is actively engaged in the intricate process of carefully framing a beautiful painting.","Currently, c is actively engaged in the ongoing process of selling a beautiful painting."
batch7_0,10988,"Considering the various cleaning activities shown throughout the video, which ones seem to be the most crucial? explain your reasoning.",The most crucial cleaning activities shown throughout the video are emptying the dust bag and replacing the dust bag.,The most crucial cleaning activities shown throughout the video are wiping down the inside of the vacuum cleaner and wiping down the outside of the vacuum cleaner.,The most crucial cleaning activities shown throughout the video are turning on the vacuum cleaner and turning off the vacuum cleaner.,The most crucial cleaning activities shown throughout the video are removing the dust bag and inserting the dust bag.,The most crucial cleaning activities shown throughout the video are emptying the dust bag and wiping down the inside of the vacuum cleaner.
batch7_0,14028,Provide a concise summary that covers the main process depicted in the video. focus on the key preparation steps and techniques used by c.,C makes a pizza.,"In the kitchen, c skillfully bakes and decorates a delicious cake.",C makes a pie.,Charlie c skillfully makes a delicious bread from scratch.,"Casually, c meticulously prepares and makes a delicious sandwich."
batch7_0,18445,"Describe the most significant role played by either cards or dice in the video, and explain why this aspect stood out amidst the various actions taken by c and the person.","The most significant role played by either cards or dice in the video is that they are the tools used to play the game of yahtzee. the cards and dice are used to determine the outcome of the game, and they are also used to keep track of the score.","The most significant role played by either cards or dice in the video is that they are the props used in a magic trick. the cards and dice are used to make the cards and dice disappear and reappear, and they are also used to amaze and astonish the audience.","The most significant role played by either cards or dice in the video is that they are the tools used in a scientific experiment. the cards and dice are used to measure the properties of the cards and dice, and they are also used to learn more about the physical world.","The most significant role played by either cards or dice in the video is that they are the materials used to create a work of art. the cards and dice are arranged in a pleasing way, and they are also used to evoke an emotional response from the viewer.","The most significant role played by either cards or dice in the video is that they are the tools used to teach a lesson. the cards and dice are used to illustrate a point, and they are also used to help the viewer learn something new."
